rowid;categoria;sku;marca;preco;img
58;sorveteria;1844;Fini Bala de Gelatina Amora 500 G;R$ 23;https://cdn.awsli.com.br/300x300/1284/1284671/produto/98098616/93000c840f.jpg
59;sorveteria;144;Fini Bala de Gelatina Aros de Morango 500 G;R$ 23;https://cdn.awsli.com.br/300x300/1284/1284671/produto/98098602/307c0c0f6f.jpg
60;sorveteria;2040;Cobertura de Banana Caramelizada 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/91239503/b762b4538e.jpg
61;sorveteria;325;Cobertura de Caramelo 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/91238551/73eae15480.jpg
62;sorveteria;505;Cobertura de Doce de Leite 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/91237558/eed2d39f85.jpg
63;sorveteria;326;Cobertura de Chocolate 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/91220859/5d34920c7e.jpg
64;sorveteria;379;Cobertura de Morango 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/90123657/2ce68be6f0.jpg
65;sorveteria;2024;Estabilizante Aqua 5 01 KG;R$ 76;https://cdn.awsli.com.br/300x300/1284/1284671/produto/90024668/bc0e87091d.jpg
66;sorveteria;499;Saborizante Sorvete Algemix Selecta - Chocolate Branco1 kg;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/88484757/06fe9f7fb6.jpg
67;sorveteria;98;Emustab Laranja 10kg;R$ 294;https://cdn.awsli.com.br/300x300/1284/1284671/produto/59788747/1acc8fd57b.jpg
68;sorveteria;592;Embalagem BOPP Laranja 250gr;R$ 17;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57803980/52e5afce1c.jpg
69;sorveteria;616;Embalagem BOPP Ameixa 250gr;R$ 17;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57800575/202b51befc.jpg
70;sorveteria;338;Polpa J.E.B. Morango 4;1Kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57317180/1184b09e7c.jpg
71;sorveteria;340;Polpa J.E.B. Abacaxi 4;1kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57317041/d5a433aea4.jpg
72;sorveteria;708;Polpa Pró Polpa Abacaxi 4;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57314633/96582ad13d.jpg
73;sorveteria;710;Polpa  Pró Polpa Abacaxi Ao Vinho 4;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57295597/cb7173d810.jpg
74;sorveteria;604;Canudo Waffer Pró Cascão 1Kg;R$ 36;https://cdn.awsli.com.br/300x300/1284/1284671/produto/56713971/51148d67d3.jpg
75;sorveteria;1626;Leite em Pó Piracanjuba 1Kg;R$ 45;https://cdn.awsli.com.br/300x300/1284/1284671/produto/56457310/leite-em-p--integral-1kg-frontal-7h9xvhay8y.jpg
76;sorveteria;1081;Cumbuca Térmica Copobrás 300ml 50unid;R$ 22;https://cdn.awsli.com.br/300x300/1284/1284671/produto/55330688/c1e8249001.jpg
77;sorveteria;1628;Colher de Sobremesa Colorida Com 1.000 unid;R$ 56;https://cdn.awsli.com.br/300x300/1284/1284671/produto/55264674/09d2e72724.jpg
78;sorveteria;584;Pazinha Plástica Colorida Pacote com 1.000 Und;R$ 35;https://cdn.awsli.com.br/300x300/1284/1284671/produto/55264465/ccafe832f6.jpg
79;sorveteria;1482;Cobertura de Açaí 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54207821/ed5334c505.jpg
80;sorveteria;143;Cobertura de Amora com Polpa 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54207786/b5c9527c1d.jpg
81;sorveteria;1484;Cobertura de Kiwi 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54203107/95e34434d8.jpg
82;sorveteria;587;Cobertura de Leite Condensado 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54202434/bd5a333775.jpg
83;sorveteria;653;Cobertura de Limão 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54202397/360f13bb75.jpg
84;sorveteria;1653;Cobertura de Maracujá Com Polpa 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54202240/e013bf8c3e.jpg
85;sorveteria;1494;Cobertura de Cassis 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54164964/9a97be59b1.jpg
86;sorveteria;2039;Cobertura de Abacaxi 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54164804/cbfa16c7fd.jpg
87;sorveteria;414;Cobertura de Baunilha 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54157371/dc59f45ed5.jpg
88;sorveteria;556;Selecta TOP Morango 4kg;R$ 105;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54144567/04ec621cd7.jpg
89;sorveteria;1479;Selecta TOP Maracujá 4kg;R$ 109;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54144446/aa6bad3bed.jpg
90;sorveteria;557;Selecta TOP Limão 4kg;R$ 102;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54144404/a664bc013a.jpg
91;sorveteria;2066;Chocolat Gianduia 2kg;R$ 114;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54139181/e78aebd4c7.jpg
92;sorveteria;2089;Pasta Saborizante Iogurte Grego 2kg;R$ 80;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54123106/8e7b0a9123.jpg
93;sorveteria;1725;Variegato Frutas do Bosque 2kg;R$ 96;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53861900/79f4ae681a.jpg
94;sorveteria;1491;Selecta Plus Limão 1Kg;R$ 54;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53592004/41558f8bb7.jpg
95;sorveteria;2191;Selecta Plus Abacaxi com Hortelã 1Kg;R$ 54;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53591096/77e53eaadd.jpg
96;sorveteria;553;Selecta Tropical Pinta Lingua Azul 1Kg;R$ 55;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53589416/fe9f249370.jpg
97;sorveteria;1570;Selecta Especial Baunilha 1kg;R$ 24;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53382773/5efc5ffec4.jpg
98;sorveteria;644;Saborizante Sorvete Algemix Selecta - Vanilla 1Kg;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53361168/40125ce4b5.jpg
99;sorveteria;1500;Saborizante Sorvete Algemix Selecta - Queijo 1Kg;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53360942/320f9b6fac.jpg
100;sorveteria;639;Saborizante Sorvete Algemix Selecta - Passas ao Run 1Kg;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53360441/ea9503306e.jpg
101;sorveteria;643;Saborizante Sorvete Algemix Selecta - Menta 1Kg;R$ 33;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53357365/7eb4e59a6c.jpg
102;sorveteria;1092;Saborizante Sorvete Algemix Selecta - Mamão Papaya 1kg;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53356579/fbea57d0c0.jpg
103;sorveteria;2127;Saborizante Sorvete Algemix Selecta - Leitinho Premium 1kg;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53356480/5b674b32fc.jpg
104;sorveteria;1486;Saborizante Sorvete Algemix Selecta - kiwi 1kg;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53354959/cf88208f03.jpg
105;sorveteria;626;Saborizante Sorvete Algemix Selecta - Chocante 800gr;R$ 53;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53327605/96a075fa2d.jpg
106;sorveteria;2102;Saborizante Sorvete Algemix Selecta - Chiclets Tutti-Frutti 1kg;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53327244/c64d9325b2.jpg
107;sorveteria;632;Saborizante Sorvete Algemix Selecta - Beijo de Coco 1kg;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53324187/24589c3e2b.jpg
108;sorveteria;501;Saborizante Sorvete Algemix Selecta - Ameixa Preta 1kg;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53315379/aa7db99876.jpg
109;sorveteria;396;Saborizante Sorvete Algemix Selecta - Abacaxigurte1kg;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53307840/3359e1295d.jpg
110;sorveteria;661;Selecta Tropical Tutti Frutti 1Kg;R$ 31;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53105005/c10c6835cc.jpg
111;sorveteria;660;Selecta Tropical Maracujá 1Kg;R$ 31;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53100602/883fda66e6.jpg
112;sorveteria;1024;Selecta Tropical Melancia 1Kg;R$ 31;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53098170/e313dd5741.jpg
113;sorveteria;662;Selecta Tropical Groselha 1Kg;R$ 31;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53078583/92b81091e7.jpg
114;sorveteria;2845;Embalagem BOPP Transparente 200gr;R$ 14;https://cdn.awsli.com.br/300x300/1284/1284671/produto/323032758/picole-bopp---transparente-8ac46a084w.jpg
115;sorveteria;2820;Saborizante Algemix Leite Intense 1 kg;R$ 49;https://cdn.awsli.com.br/300x300/1284/1284671/produto/319769149/algemix-g0mm7p2g1v.jpg
116;sorveteria;2736;Chocolat Chocolate com Pipoca Caramelizada 3;5 kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/277690415/sel--chocolat---choc--c-pipoca-caramelizada---bd-3-5-kg-t4u6odvt2i.jpg
117;sorveteria;2701;Selecta Creme de Morango Classic Bisnaga 1kg;R$ 35;https://cdn.awsli.com.br/300x300/1284/1284671/produto/277690404/selecta-classic-creme-de-morango-1-01kg---sach--e9laf5kqfm.jpg
118;sorveteria;2700;Selecta Creme Lattinho (Leitinho) Classic Bisnaga 1kg;R$ 33;https://cdn.awsli.com.br/300x300/1284/1284671/produto/277690400/selecta-classic-creme-de-lattinho-1-01kg---sach--4sq70w4dtq.jpg
119;sorveteria;2699;Selecta Creme Latttinho (Leitinho) Classic 3 kg;R$ 100;https://cdn.awsli.com.br/300x300/1284/1284671/produto/277690395/selecta-classic-creme-lattinho-3kg-mcks5cv6hc.jpg
120;sorveteria;2694;Selecta Creme Gianduia Classic Bisnaga 1kg;R$ 39;https://cdn.awsli.com.br/300x300/1284/1284671/produto/277690377/selecta-classic-creme-de-gianduia-1-01kg---sach--k08p7oh7ko.jpg
121;sorveteria;1757;Selecta Cream Livre Trans 1kg;R$ 22;https://cdn.awsli.com.br/300x300/1284/1284671/produto/260714345/selecta-cream-livre-de-trans-4p2y4qrx04.jpg
122;sorveteria;2278;Leite em Pó Modificado Purelac Premium 25kg;R$ 509;https://cdn.awsli.com.br/300x300/1284/1284671/produto/241241432/cl-purelac-pro-premium-25kg-tnm9k50chi.jpg
123;sorveteria;1385;Crocante de Castanha de Caju Vabene;R$ 33;https://cdn.awsli.com.br/300x300/1284/1284671/produto/229981327/crocante-vabene-castanha-de-caju-1kg-pote-cjozjetw0c.jpg
124;sorveteria;2365;Cobertura de Chocolate com Avelã 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/225130687/chocolate-com-avel--1-3kg-uk7w4a1ep8.jpg
125;sorveteria;2358;Saborizante Chocolate Com Avelã 1;01 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/225128123/cacau-po-selecta-100----1-01-kg-ekwmdyk4qb.JPG
126;sorveteria;2373;Selecta Trufa Sundae Classic 4 KG;R$ 119;https://cdn.awsli.com.br/300x300/1284/1284671/produto/225107467/trufa_sundae-4kg-8qqncnvi09.jpg
127;sorveteria;2377;Chocolate Amandita 200g;R$ 15;https://cdn.awsli.com.br/300x300/1284/1284671/produto/220119316/amandita-hybynru0k0.JPG
128;sorveteria;730;Polpa de Ameixa PRÓ POLPA 4;3 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/185244172/460e982cb0.jpg
129;sorveteria;2002;Leite em Pó Modificado Purelac Pró Mix 1 KG;R$ 19;https://cdn.awsli.com.br/300x300/1284/1284671/produto/171999313/e74e14df88.jpg
130;sorveteria;1996;Leite em pó Modificado Purelac Fonte 4051 1 KG;R$ 32;https://cdn.awsli.com.br/300x300/1284/1284671/produto/171999305/e32482c772.jpg
131;sorveteria;1993;Leite em pó Modificado Purelac Fonte 4051 25 KG;R$ 721;https://cdn.awsli.com.br/300x300/1284/1284671/produto/171999301/d8f80799cb.jpg
132;sorveteria;1667;Leite em Pó Modificado Purelac Pró Mix 25 KG;R$ 465;https://cdn.awsli.com.br/300x300/1284/1284671/produto/171999284/61e5a6e02d.jpg
133;sorveteria;1666;Leite em Pó Modificado Purelac Taste 25 KG;R$ 481;https://cdn.awsli.com.br/300x300/1284/1284671/produto/171476447/401f698b27.jpg
134;sorveteria;1727;Saborizante Sorvete Algemix Selecta - Chocolate Branco com Malte 1 KG;R$ 60;https://cdn.awsli.com.br/300x300/1284/1284671/produto/168575032/39063f56fe.jpg
135;sorveteria;1942;Granola Tradicional Feinkost 1 KG;R$ 26;https://cdn.awsli.com.br/300x300/1284/1284671/produto/166283126/598cc91f76.jpg
136;sorveteria;968;Colher Açaí Reforçada Lilás Caixa com 500 unidades;R$ 75;https://cdn.awsli.com.br/300x300/1284/1284671/produto/162520933/c5694ecdb5.jpg
137;sorveteria;1747;Selecta Lattinho Classic 12 KG;R$ 326;https://cdn.awsli.com.br/300x300/1284/1284671/produto/157369380/creme-lattinho-12kg-wyp6yl909n.jpg
